[14:38:00] login_id: 1 | SQL: INSERT INTO tbl_members (first_name, middle_name,last_name,father_name,mother_name,dob,
                    blood_group,phone,whtsapp,email,p_street,p_city,p_pincode,p_country,img) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?) | Values: ["safsa","fewf","rwefwfw","etwtw","twtwet","2025-09-12","5","4235353","5345353","testw@gmail.com","erwr","erwerw","45325235","fdsfsfs","0"]
[14:38:04] login_id: 1 | SQL: DELETE FROM tbl_group_member_map WHERE member_id = ? | Values: ["1"]
[14:38:04] login_id: 1 | SQL: INSERT INTO tbl_group_member_map (member_id, group_id) VALUES (?, ?) | Values: ["1","2"]
[14:38:18] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-01","2"]
[14:38:18] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-01"]
[14:38:23] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-02","2"]
[14:38:23] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-02"]
[14:38:28] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-03","2"]
[14:38:28] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-03"]
[14:38:32] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-04","2"]
[14:38:32] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-04"]
[14:38:37] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-05","2"]
[14:38:37] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-05"]
[14:38:43] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-06","2"]
[14:38:43] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-06"]
[14:38:48] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-07","2"]
[14:38:48] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-07"]
[14:38:54] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-08","2"]
[14:38:54] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-08"]
[14:38:59] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-09","2"]
[14:38:59] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-09"]
[14:39:04] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-10","2"]
[14:39:04] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-10"]
[14:39:10] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-11","2"]
[14:39:10] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-11"]
[14:39:16] login_id: 1 | SQL: DELETE FROM tbl_attendance WHERE date = ? AND group_id = ? | Values: ["2025-09-12","2"]
[14:39:16] login_id: 1 | SQL: INSERT INTO tbl_attendance (member_id,group_id,date) VALUES (?, ?, ?) | Values: ["1","2","2025-09-12"]
[14:39:28] login_id: 1 | SQL: INSERT INTO tbl_monthly_attendance (member_id, from_date, to_date, attendance) VALUES (?, ?, ?, ?) | Values: [1,"2025-09-01","2025-09-12",12]
[14:39:53] login_id: 1 | SQL: INSERT INTO tbl_member_recievable (member_id, fees, date, login_id, head, discription, iscomplete) VALUES (?, ?, ?, ?, ?, ?, 0) | Values: ["1",150,"2025-09-12",1,"3","sep monthly fee"]
[14:39:53] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, 0, ?, ?, ?, ?,?) | Values: ["1","0000-00-00",1,"3","sep monthly fee",1]
[14:39:53] login_id: 1 | SQL: UPDATE tbl_monthly_attendance SET isreceiveble = 1 WHERE id= ? | Values: ["1"]
[14:40:11] login_id: 1 | SQL: INSERT INTO tbl_member_recieved (member_id, fees, date, login_id, head, discription, receiveble_id) VALUES (?, ?, ?, ?, ?, ?,?) | Values: ["1","150","2025-09-12",1,"3","sep monthly fee","1"]
[14:40:12] login_id: 1 | SQL: UPDATE tbl_member_recievable SET iscomplete = ?  WHERE id = ? | Values: [1,"1"]
